Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
Cylburn,Pimlico/Arlington/Hilltop,11816.0,21215,32189.6,4962.0
Langston Hughes,Pimlico/Arlington/Hilltop,11816.0,21215,32189.6,4962.0
Levindale,Pimlico/Arlington/Hilltop,11816.0,21215,32189.6,4962.0
Pimlico Good Neighbors,Pimlico/Arlington/Hilltop,11816.0,21215,32189.6,4962.0
Greenspring,Southern Park Heights,13284.0,21215,24824.1,4962.0
Lucille Park,Southern Park Heights,13284.0,21215,24824.1,4962.0
Park Circle,Southern Park Heights,13284.0,21215,24824.1,4962.0
Parklane,Southern Park Heights,13284.0,21215,24824.1,4962.0
Towanda-Grantley,Southern Park Heights,13284.0,21215,24824.1,4962.0
Concerned Citizens Of Forest Park,Forest Park/Walbrook,9849.0,21216,44764.3,2249.0
Fairmont,Forest Park/Walbrook,9849.0,21216,44764.3,2249.0
Forest Park,Forest Park/Walbrook,9849.0,21216,44764.3,2249.0
Garwyn Oaks,Forest Park/Walbrook,9849.0,21216,44764.3,2249.0
Mount Holly,Forest Park/Walbrook,9849.0,21216,44764.3,2249.0
West Forest Park,Forest Park/Walbrook,9849.0,21216,44764.3,2249.0
Windsor Hills,Forest Park/Walbrook,9849.0,21216,44764.3,2249.0
Burleith-Leighton,Greater Mondawmin,9322.0,21216,36968.8,2249.0
Hanlon-Longwood,Greater Mondawmin,9322.0,21216,36968.8,2249.0
Liberty Square,Greater Mondawmin,9322.0,21216,36968.8,2249.0
Mondawmin,Greater Mondawmin,9322.0,21216,36968.8,2249.0
Panway/Braddish Avenue,Greater Mondawmin,9322.0,21216,36968.8,2249.0
Walbrook,Greater Mondawmin,9322.0,21216,36968.8,2249.0
Bridgeview/Greenlawn,Greater Rosemont,19259.0,21216,36379.8,2249.0
Coppin Heights/Ash-Co-East,Greater Rosemont,19259.0,21216,36379.8,2249.0
Evergreen Lawn,Greater Rosemont,19259.0,21216,36379.8,2249.0
Franklintown Road,Greater Rosemont,19259.0,21216,36379.8,2249.0
Mosher,Greater Rosemont,19259.0,21216,36379.8,2249.0
Northwest Community Action,Greater Rosemont,19259.0,21216,36379.8,2249.0
Rosemont,Greater Rosemont,19259.0,21216,36379.8,2249.0
Rosemont Homewoners/Tenants,Greater Rosemont,19259.0,21216,36379.8,2249.0
Winchester,Greater Rosemont,19259.0,21216,36379.8,2249.0
